1,White,$0.00,1
2,Wheat,$0.00,1
3,Sourdough,$0.00,1
4,Rye,$0.00,1
5,Sausage,$1.50,2
6,Ham,$1.50,2
7,Turkey,$1.50,2
8,Scrapple,$1.50,2
9,Bacon,$1.50,2
10,Chorizo,$1.50,2
11,Chicken,$1.50,2
12,Steak,$1.50,2
13,Add Cheese,$0.50,3
14,Add a Side of Home Fries,$3.99,4
15,Add a Side of White Toast,$1.00,4
16,Add a Side of Wheat Toast,$1.00,4
17,Add a Side of Rye Toast,$1.00,4
18,Add a Side of Sourdough Toast,$1.00,4
19,Add Extra Meat,$1.00,5
20,Add Extra Cheese,$0.50,5
21,Add an Extra Egg,$0.80,5
22,Grilled Rib Eye,$1.50,6
23,Roast Beef,$1.50,6
24,Beef Bulgogi,$1.50,6
25,Sliced Turkey,$1.50,6
26,Sliced Ham,$1.50,6
27,Grilled Chicken,$1.50,6
28,Bacon,$1.50,6
29,Pepperoni,$1.50,6
30,Tuna Salad,$1.50,6
31,Fried Fish,$1.50,6
32,Beef Hamburger Patties,$1.50,6
33,Pastrami ,$1.50,6
34,Capicola,$1.50,6
35,Corned Beef,$1.50,6
36,Salami,$1.50,6
37,Swiss,$0.00,7
38,American,$0.00,7
39,Provolone,$0.00,7
40,Mozzarella Cheese,$0.00,7
41,Lettuce,$0.50,8
42,Tomato,$0.50,8
43,Cucumber,$0.50,8
44,Mushroom,$0.50,8
45,Sliced Raw Onion,$0.50,8
46,Green Bell Pepper,$0.50,8
47,Avocado,$0.50,8
48,Carrot,$0.50,8
49,Grilled Onion,$0.50,8
50,Pickle,$0.50,8
51,Olives,$0.50,8
52,Pickled Jalapeno,$0.50,8
53,Cole Slaw,$0.50,8
54,Sauerkraut,$0.50,8
55,Ketchup,$0.00,9
56,Mayo,$0.00,9
57,Spicy Mustard,$0.00,9
58,Mustard ,$0.00,9
59,Honey Mustard,$0.00,9
60,Tartar Sauce,$0.00,9
61,Cusabi Dressing,$0.00,9
62,Caesar Dressing ,$0.00,9
63,Add Double Meat,$1.50,10
64,Add Extra Cheese,$1.00,10
65,Grilled Rib Eye,$1.50,11
66,Roast Beef,$1.50,11
67,Beef Bulgogi,$1.50,11
68,Grilled Spicy Chicken,$1.50,11
69,Teriyaki Chicken,$1.50,11
70,Grilled Chicken,$1.50,11
71,Bacon,$1.50,11
72,Tomato,$0.50,12
73,Cucumber,$0.50,12
74,Mushroom,$0.50,12
75,Sliced Raw Onion,$0.50,12
76,Green Bell Pepper,$0.50,12
77,Avocado,$0.50,12
78,Sliced Carrot,$0.50,12
79,Pickle,$0.50,12
80,Pickled Jalapeno,$0.50,12
81,Cheddar Cheese,$0.50,12
82,Black Beans,$0.50,12
83,Ranch,$0.00,13
84,Caesar Dressing ,$0.00,13
85,Medium,$0.00,14
86,Large,$2.00,14
87,Add Double Meat,$2.00,15
88,Add Double Rice,$3.99,15
89,Add Double Salad,$3.99,15
90,Add Double Meat,$2.00,16
91,Add Double Rice,$3.99,16
92,Add Extra Lettuce,$0.50,16
93,Add Extra Cheese,$0.50,16
94,Add Egg,$0.80,16
95,Add Double Rice,$3.99,17
96,Toasted,$0.00,18
97,Not Toasted,$0.00,18
98,Hot,$0.00,19
99,Cold,$0.00,19
100,Fries,$1.50,20
101,Onion Rings,$1.50,20
102,Potato Salad,$1.50,20
103,Chips,$1.50,20
104,Salad,$1.50,20

